Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect_YN,Effect_PNN,FID_Distance,Synopsis,Notes,Paper_Retained
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Gallinula tenebrosa,Rails,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,,Dusky moorhen showed an increase in the effec size of human activity as activity level increased indicated by a the small low-mid difference compared with the much larger mid-high difference. ,Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Fulica atra,Rails,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,,Eurasian coot howed similar relative differences in prior distributions for low-mid and mid-high comparisons suggesting a consistent effect size of human activity on risk assessment as activity level increases. ,Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Anas superciliosa,Duck,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,,Pacific black duck had higher low-mid relative differences than mid-high relative differences. This suggests that the effect of human activity decreases for this species as activity level increases - sensitive to initial increases in human activity but becomes much less sensitive over a certain threshold.,Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Porphyrio melantous,Rails,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,,Australasian swamphen showed similar relative differences in prior distributions for low-mid and mid-high comparisons suggesting a consistent effect size of human activity on risk assessment as activity level increases. ,Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes
D036,Liam,Assessing the impacts of bait collection on inter-tidal sediment and the associated macrofaunal and bird communities: The importance of appropriate spatial scales,"Watson, GJ.",2017,Marine Environmental Research,Overwinter,Site,UK,Europe,multi-species,Multiple,Waders,No,NA,Recreational,Bait digging,Site,Local abundance,Yes,Negative,,"Examined the effects of bait-digging on macrofauna communities and wader abundance in Fareham Creek. Used video recordings of dug areas to assess number of birds and activity of bait diggers. There was a significant negative correlation between number of bait collectors per time point and waders for one of the size camera views (Dell quay 1). Wader species recorded were Redshank, Dunlin, Curlew, Oystercatcher, Grey Plover and Dunlin but analysis was not performed for individual species. ",Weak evidence of disturbance sensitivity in waders. ,Yes
D036,Liam,Assessing the impacts of bait collection on inter-tidal sediment and the associated macrofaunal and bird communities: The importance of appropriate spatial scales,"Watson, GJ.",2017,Marine Environmental Research,Overwinter,Site,UK,Europe,multi-species,Multiple,Multiple,No,NA,Recreational,Bait digging,Site,Local abundance,No,Neutral,,There was no significant correlation between numbers of wildfowl and bait diggers for any of the camera views. This may be partially due to habituation at this disturbed urban site.,Wildfowl were lumped into a single category for analysis and were not identified to species level.,Yes
D037,Liam,The effects of food abundance and disturbance on foraging flock patterns of the wintering Hooded Crane (Grus monacha),"Yang, L.",2015,Avian Research,Overwinter,Site,China,Asia,single-species,Grus monacha,Crane,No,NA,Recreational,Walking,Behavioural,,,,,"Examined the effects of habitat composition and human disturbance on flock size and structure of hooded cranes wintering at Shengjin Lake, China. A disturbance index divided into three grades was created based on the frequency and intensity of disturbances recorded during the survey. Low disturbance was defined as few passers-by, livestock and boats within 200-500m. Medium disturbance was defined as passers-by, vehicles and powerboats within 100-200m. Any disturbances within 100m were defined as a high-level of disturbance. Analysed the effect of food abundance and disturbance with a GLM. As disturbance levels increased, flock sized increased as birds were concentrated. There was a significant interaction between disturbance and food abundance. Clustering effects of disturbance may increase competition for food, negatively impacting foraging efficiency. Potentially also some benefits of cooperative foraging in paddy fields. Flock size also varied seasonally and in different foraging habitats and the level of disturbance also varied between these habitats. ",Just testing for an effect on flock size - remove. ,No
D038,Liam,An approach to assess the potential impacts of human disturbance on wintering tropical shorebird,"Yasue, M.",2008,Oryx,Overwinter,Site,Thailand,Asia,multi-species,Multiple,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Index,Behavioural,TAB,Yes,NA,,"Examined the effect of disturbance on the abundance and behaviour of waders at five sites within Khao Sam Roi Yod NP, Thailand. Sites censused using a spotting scope, number and behaviour (feeding/roosting) of waders counted. Also counted the number of people and dogs at a site. Conducted disturbance watches - measured natural and human (people, livestock, dogs, loudspeakers, vehicles) for 30-180 mins and counted number and behaviour of birds at the start and during the watch if the composition changed. Estimated time taken for 90% of the flock to resume feeding at each site. Also recorded prey abundance and energetic values at each site. Also calculated prey ingestion rates from observations of feeding birds. Intake rates for curlews and malaysian plovers but not kentish and lesser sand plovers varied between sites but were not related directly to human disturbance levels and may also have been due to prey densities. Time spent responsing to disturbance was greatest at SPB - busiest site with the largest number of tourists. Suggest negative influence of disturbance on TABs.",Negative effect but linked to sites which vary in disturbance levels - indirect? ,Yes
D038,Liam,An approach to assess the potential impacts of human disturbance on wintering tropical shorebird,"Yasue, M.",2008,Oryx,Overwinter,Site,Thailand,Asia,multi-species,Multiple,Waders,No,NA,Recreational,Index,Site,Local abundance,No,Neutral,,At one site - assessed whether people caused temporary changes in wader behaviour. First related total number of people and dogs to wader presence/absence. Disturbance rates varied between sites.Number of people and dogs at SPB had no effect on whether there were high or low numbers of feeding waders.,,Yes
D038,Liam,An approach to assess the potential impacts of human disturbance on wintering tropical shorebird,"Yasue, M.",2008,Oryx,Overwinter,Site,Thailand,Asia,multi-species,Numenius arquata,Waders,No,NA,Recreational,Index,Behavioural,Feeding,Yes,Negative,,Tested whether number of people and dogs influenced Eurasian Curlew intake rates. Intake rates were negatively correlated with number of humans and dogs present at the site. ,,Yes
D039,Liam,"The Influence of Food Density, Flock Size, and Disturbance on the Functional Response of Bewick's Swans (Cygnus columbianus bewickii) in Wintering Habitats","Yu, C.",2019,Animals,Overwinter,Regional,China,Asia,single-species,Cyngnus columbianus bewickii,Swan,No,NA,Recreational,Walking,Behavioural,Feeding,Yes,Negative,,"Look at the effect of food density, flock size and disturbance on the feeding rates of overwintering Bewick's Swans at two lakes in China. Feeding rate negatively correlated with disturbance time. Feeding rate was influenced by the combined effects of searching rate and handling time. Handling time increased with disturbance whilst searching rate was negatively correlated with disturbance time. Disturbance recorded as the time duration of walkers and cyclists seen by the swans in the foraging sites.",Index of disturbance combining cycling and walking.,Yes
D039,Liam,"The Influence of Food Density, Flock Size, and Disturbance on the Functional Response of Bewick's Swans (Cygnus columbianus bewickii) in Wintering Habitats","Yu, C.",2019,Animals,Overwinter,Regional,China,Asia,single-species,Cyngnus columbianus bewickii,Swan,No,NA,Recreational,Cycling,Behavioural,Feeding,No,Neutral,,"Look at the effect of food density, flock size and disturbance on the feeding rates measured from focal videos of overwintering Bewick's Swans at two lakes in China. Feeding rate negatively correlated with disturbance time. Feeding rate was influenced by the combined effects of searching rate and handling time. Handling time increased with disturbance whilst searching rate was negatively correlated with disturbance time. Disturbance recorded as the time duration of walkers and cyclists seen by the swans in the foraging sites.",Index of disturbance combining cycling and walking.,Yes
D040,Liam,"Crucial sites and environmental variables for wintering migratory waterbird population distributions in the natural wetlands in East Dongting Lake, China","Zou, YA.",2019,Science of the Total Environment,Overwinter,Regional,China,Asia,multi-species,Multiple,Multiple,No,Site: Disturbed vs non-disturbed/protected area,Recreational,,Site,Comminity composition,,,,"Investigated the effect of various environmental parameters including human disturbance level at the community, foraging guild and species-levels. At the community level, species number, abundance and species diversity showed negative correlations with disturbance. At the foraging guild level, fish eaters were negatively correlated with disturbance. None of the 10 selected threatened or dominant species exhibited correlations with disturbance - weak evidence and not clear this indicates a lack of disturbance effects. ",Disturbance not directly measured at any lakes. Lakes instead assigned low/medium/high disturbance level based on proximity to roads/settlements and the activities such as fishing/reed-cutting permitted. Not a direct disturbance measure - remove. ,No
D115,Liam,COVID19-induced reduction in human disturbance enhances fattening of an overabundant goose species,"LeTourneux, F.",2021,Biological Conservation,Migration,Regional,Canada,North America,single-species,Anser carulescens,Geese,Yes,Season: Shooting vs non-shooting,Wildfowling,Shooting,Behavioural,Habitat selection,Yes,NA,,Examined the effect of a Covid-19 lcokdown induced reduction in hunting disturbance (31%) on the movement behaviour and body condition of snow geese at their spring staging site in Quebec. Habitat selection was altered in the late staging period (2-3 weeks pre departure) as geese were able to spend less time feeding in risky but highly profitable agricultural habitats due to improved foraging conditions in the early staging period when disturbance was most dramatically reduced.,,Yes
D115,Liam,COVID19-induced reduction in human disturbance enhances fattening of an overabundant goose species,"LeTourneux, F.",2021,Biological Conservation,Migration,Regional,Canada,North America,single-species,Anser carulescens,Geese,Yes,Season: Shooting vs non-shooting,Wildfowling,Shooting,Physiological,Body condition,Yes,Negative,,Body condition of geese in 2020 when hunting disturbance was reduced was the highest in any year since the season was introduced in 1999 other than 2019. Geese also attained maximal body condition earlier in the staging period than any other year. ,,Yes
D116,Liam,"Vigilance and Activity Time-Budget Adjustments of Wintering Hooded Cranes, Grus monacha, in Human-Dominated Foraging Habitats","Li, CL.",2015,PLoS One,Overwinter,Site,China,Asia,single-species,Grus monacha,Crane,No,Site: Disturbed vs non-disturbed/protected area,Recreational,,Behavioural,Vigilance,Yes,Negative,,"Investigated the effect of human disturbance on the vigilance and time-activity budgets of wintering hooded cranes at Shengjin Lake, China. Compared behaviour between the highly disturbed rice paddies in the buffer zone (8.3 disturbances per hour) and the core NR area (very low disturbance). Disturbance any instance when humans within 200m - includes ploughing, vehicles, motorcycles etc. Birds showed higher levels of vigilance in the buffer area than the core NR. ",Index of disturbance that includes non-recreational sources such as ploughing and vehicles - can't isolate the effect of recreational disturbance - remove?,No
D116,Liam,"Vigilance and Activity Time-Budget Adjustments of Wintering Hooded Cranes, Grus monacha, in Human-Dominated Foraging Habitats","Li, CL.",2015,PLoS One,Overwinter,Site,China,Asia,single-species,Grus monacha,Crane,No,Site: Disturbed vs non-disturbed/protected area,Recreational,,Behavioural,TAB,Yes,NA,,TABs varied between the disturbed buffer zone and the core NR. Birds spent more time vigilant but also more time feeding in the buffer zone. In contrast birds in the core NR spent more time on locomotion and self maintenance behaviours. TABs varied between years and age classes. ,Index of disturbance that includes non-recreational sources such as ploughing and vehicles - can't isolate the effect of recreational disturbance - remove?,No
D117,Liam,Behavioural responses of migratory shorebirds to disturbance at a high-tide roost,"Lilleyman, A. ",2016,Emu,Overwinter,Site,Australia,Australasia,multi-species,Multiple,Waders,No,Disturbance type,Recreational,Walking,Behavioural,Movement,Yes,NA,,"Studied the behavioural responses of migratory waders (Knots and Sandplovers) to disturbance from anthropogenic (walkers and dog walkers) and natural sources at a high tide roost in Darwin. Modelled the probability of flying, and time to resettle as a function of disturbance type, flcok size, shorebird taxa (knots vs sandplovers), FID, tide height, time since last disturbance and time since arrival. Flight probability differed between taxa and was strongly influenced by flock size (decreased with increasing flock size) and FID. Knots had a larger FID than sandplovers. Resettle Time also varied between taxa and flock size although the best model also included time since arrival. This suggests potential habituation over the non-breeding period. There were no differences in behavioural responses between natural and anthropogenic disturbances. ",,Yes
D117,Liam,Behavioural responses of migratory shorebirds to disturbance at a high-tide roost,"Lilleyman, A. ",2016,Emu,Overwinter,Site,Australia,Australasia,multi-species,Multiple,Waders,No,Disturbance type,Recreational,Walking,Physiological,TEB,Yes,Negative,,"Modelled potential energetic costs of alarm flights following disturbance. Mean energy costs per flight as percentage of DEE was 0.75-0.78% for sandplovers and 0.45-0.47% for Knots. Under modelled conditions, the maximum number of disturbances (10 per day) observed in this study led to increased energy costs of 7.5-7.8% for knots and 4.5-4.7% for sandplovers with potential negative implications for TEBs. It is unclear whether birds can compensate for this deficit by increasing intake rates. ",Anthropogenic and natural disturbances lumped together when calculating max number of disturbances per day.  ,Yes
D118,Liam,Daily Movements of Female Mallards Wintering in Southwestern Louisiana,"Link, PT.",2011,Waterbirds,Overwinter,Regional,USA,North America,single-species,Anas platyrhyncos,Duck,Yes,Site: Disturbed vs non-disturbed/protected area,Wildfowling,Shooting,Behavioural,Movement,,,,"Used radio-telemetry to examine how daily movement distances of female Mallards wintering in Louisiana between diurnal roosts and nocturnal foraging sites varied with age, data, winter, habitat type and whether the area was open or closed to hunting. Hypothesised that birds using refuges might move further due to being located more distantly from foraging sites in agricultural fields. There was no consistent pattern of movement distances from various land classes by age, date or winter. Flight distances from one refuge area increased across the winter but those from another refuge and open hunting areas did not.",Questions more about landcover selection. Not testing a direct disturbance effect - remove. ,No
D119,Liam,Disturbance increases high tide travel distance of a roosting shorebird but only marginally affects daily energy expenditure,"Linssen, H.",2019,Avian Research,Overwinter,Regional,Netherlands,Europe,single-species,Haematopus ostralegus,Waders,No,NA,Recreational,Walking,Behavioural,Movement,,,,"Looked at short and long-term behavioural responses of Oystercatchers at high tide roost in the Wadden Sea to anthropogenic, airctraft and natural disturbances. Used a combination of observations and GPS tracking. disturbance levels low so also conducted two experimental disturbances per observation period by walking towards the birds. Compared immediate displacement after disturbance with distance travelled during entire high tide period whilst accounting for env conditions. Air force disturbances led to larger immediate responses than walkers or natural predators. Longer term responses and immediate responses were approximately similar - spatial disturbance effects remain confined to immediate effects within the study area. Overall disturbance levels were low - 0.17 per bird per hour. ",Most disturbances of natural origin (62%). Not really saying much other than that aircraft have bigger disturbance impacts than humans or natural predators. Really looking at effect of aircraft versus other disturbance sources. ,No
D119,Liam,Disturbance increases high tide travel distance of a roosting shorebird but only marginally affects daily energy expenditure,"Linssen, H.",2019,Avian Research,Overwinter,Regional,Netherlands,Europe,single-species,Haematopus ostralegus,Waders,No,NA,Recreational,Walking,Physiological,TEB,,Neutral,,"Due to the low frequency of anthropogenic disturbances, they had a negligible average cost of 0.08% of DEE. ",Anthropogenic sources include aircraft and walkers combined,No
D120,Liam,Behavioural responses of the whooper swans Cygnus cygnus to human disturbance and their adaptability to the different habitats in the Rongcheng lagoon of China,"Liu, YH.",2018,Ecohydrology,Overwinter,Site,China,Asia,single-species,Cygnus cygnus,Swan,No,NA,Recreational,,Behavioural,Habitat selection,,,,"Examined habitat selection of Whooper Swans wintering at Rongcheng Lake, China. Counted numbers and recorded behaviours of swans in different habitats around the lake - found that distribution was influenced by water depth and food availability. Suggest human disturbance effects behaviour and distribution - no mention of how disturbance was measured just refers to analysing habitat selection ""under human disturbance"". Perhaps the lake represents a disturbed site as humans feed the swans? Not clear exactly how they test disturbance effects and communication of results unclear. ",Don’t appear to have measured disturbance directly and results unclear - remove.,No
D121,Liam,"Role of disturbance, geology and other environmental factors in determining abundance and diversity in coastal avian communities during winter","Lourenco, PM.",2013,MEPS,Overwinter,National,Portugal,Europe,multi-species,Multiple,Waders,No,NA,Recreational,Index,Site,Local abundance,Yes,Negative,,"Used national survey data to assess the influence of various factors including human presence on the local abundance of waders wintering on the non-estuarine coast of Portugal. Human presence counted directly by observers during surveys - number of people and unleashed dogs. Overall human density was also emasured based on urbanisation and human population density. These four measures were highly correlated and aggregated into a PCA - 2 principal components. Positive values of  PC1 indicating decreasing disturbance levels whilst PC"" distinguishes effects of direct disturbance and overall human presence - positive valyes indicating higher direct disturbance and negative values indicating higher overall human presence. The results indicate that most specues are more abundant near areas of high human presence but within these areas avoid direct disturbance from people and unleashed dogs. ",Human variables aggregated between measures of human density and direct disturbance into a PCA - allows discernment that human presence is correlated positively with wadrer abundance but direct disturbance leads to reductions in local abundance. ,Yes
D122,Liam,Shorebirds can adopt foraging strategies that take advantage of human fishing practices,"Lunardi, VO.",2014,Emu,Overwinter,Regional,Brazil,South America,multi-species,Mulitple,Waders,No,Disturbance type,Recreational,Walking,Site,Local abundance,Yes,Negative,,Compared the effect of shell-fishing and recreational disturbance on the local abundance and behaviours of wadres at Baia de Todos Santos in Brazil during the non-breeding period. Survey counts of number of birds and humans followed by 2 min focal counts of foraging shorebirds. Recreational activity caused a reduction in the local abundance of all shorebird taxa. Behavioural responses were greatest to recreational disturbance. ,,Yes
D122,Liam,Shorebirds can adopt foraging strategies that take advantage of human fishing practices,"Lunardi, VO.",2014,Emu,Overwinter,Regional,Brazil,South America,multi-species,Mulitple,Waders,No,Disturbance type,Recreational,Bait digging,Site,Local abundance,Yes,Neutral,,Shell-fishing did not impact the local abundance of small bodied shorebirds.,,Yes
D122,Liam,Shorebirds can adopt foraging strategies that take advantage of human fishing practices,"Lunardi, VO.",2014,Emu,Overwinter,Regional,Brazil,South America,multi-species,Mulitple,Waders,No,Disturbance type,Recreational,Bait digging,Site,Local abundance,Yes,Negative,,Larger shorebirds were less abundant when shell-fishing was taking place. ,,Yes
D122,Liam,Shorebirds can adopt foraging strategies that take advantage of human fishing practices,"Lunardi, VO.",2014,Emu,Overwinter,Regional,Brazil,South America,multi-species,Mulitple,Waders,No,Disturbance type,Recreational,Walking,Behavioural,Movement,Yes,NA,,"Conducted flight response experiments multiple times for each level of disturbance - no humans (n = 31), recreationa (n = 70), shell-fishing (n = 53). Conditions always exclusive. Experiments on mixed flocks of semi-palmated sandpipers and semi-palmated plovers. FID was significantly higher in response to recreation than shell-fishing activity. However time spent in flight was geater in response to recreational activity than shell-fishing. ",,Yes
D122,Liam,Shorebirds can adopt foraging strategies that take advantage of human fishing practices,"Lunardi, VO.",2014,Emu,Overwinter,Regional,Brazil,South America,multi-species,Mulitple,Waders,No,Disturbance type,Recreational,Bait digging,Behavioural,Movement,Yes,NA,,"Conducted flight response experiments multiple times for each level of disturbance - no humans (n = 31), recreationa (n = 70), shell-fishing (n = 53). Conditions always exclusive. Experiments on mixed flocks of semi-palmated sandpipers and semi-palmated plovers. FID was significantly higher in response to recreation than shell-fishing activity. However time spent in flight was geater in response to recreational activity than shell-fishing. ",,Yes
D122,Liam,Shorebirds can adopt foraging strategies that take advantage of human fishing practices,"Lunardi, VO.",2014,Emu,Overwinter,Regional,Brazil,South America,multi-species,Mulitple,Waders,No,Disturbance type,Recreational,Walking,Behavioural,Feeding,Yes,Negative,,Foraging rate measured in SPS and SPP. Foraging rates lower for recreational disturbance than any other treatment.,,Yes
D122,Liam,Shorebirds can adopt foraging strategies that take advantage of human fishing practices,"Lunardi, VO.",2014,Emu,Overwinter,Regional,Brazil,South America,multi-species,Calidris pusilla,Waders,No,Disturbance type,Recreational,Bait digging,Behavioural,Feeding,Yes,Negative,,Foraging rate for shell-fishing was lower than no activity in undisturbed sediment for SPS. However in sediment disturbed by shell-fishing foraging rate was higher than any other category. ,,Yes
D122,Liam,Shorebirds can adopt foraging strategies that take advantage of human fishing practices,"Lunardi, VO.",2014,Emu,Overwinter,Regional,Brazil,South America,multi-species,Charadrius semipalmatus,Waders,No,Disturbance type,Recreational,Bait digging,Behavioural,Feeding,No,Neutral,,Bait-digging had no effect on the foraging rate of SPP. ,,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Anas penelope,Duck,Yes,Disturbance type,Recreational,Angling,Behavioural,Movement,No,Neutral,,"Investigated the spatial overlap of waterfowl with recreational activities in two Danish Ramsar sites and examined behavioural responses to different human activities. Analysis focuses on Mute Swans, Coot and Wigeon. Observations, recorded reaction distance, length of disruption and time for activity resumption (disruption period). Length of interrption varied between disturbance type for Wigeon. Windsurfers and anglers caused a disruption of c20 mins which was significantly shorter than escape from a mobile shoointg punt which caused a disruption of c95 mins.",,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Anas penelope,Duck,Yes,Disturbance type,Recreational,Boating,Behavioural,Movement,No,Neutral,,Length of interrption varied between disturbance type for Wigeon. Windsurfers and anglers caused a disruption of c20 mins which was significantly shorter than escape from a mobile shoointg punt which caused a disruption of c95 mins.,Boating refers to windsurfing,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Anas penelope,Duck,Yes,Disturbance type,Wildfowling,Shooting,Behavioural,Movement,No,Neutral,,Length of interrption varied between disturbance type for Wigeon. Windsurfers and anglers caused a disruption of c20 mins which was significantly shorter than escape from a mobile shoointg punt which caused a disruption of c46 mins. However disturbance was not significantly different in terms of disruption length than spontaneous flights. Disturbance by a second punt caused a significantly longer disruption - cumulative effects of disturbance.  ,Not clear if this is disturbance due to active shooting. ,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Anas penelope,Duck,Yes,Disturbance type,Recreational,Index,Behavioural,Feeding,No,Neutral,,Feeding rates did not differ in the hour before and after disturbance events suggesting Wigeon did not attempt to compensate for these disturbances. ,Combined analysis of all disturbance types. ,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Cygnus olor,Swan,No,Disturbance type,Recreational,Angling,Behavioural,Movement,No,Neutral,,In coots there was no significant difference between disturbance types or spontaneous flights. ,,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Cygnus olor,Swan,No,Disturbance type,Recreational,Boating,Behavioural,Movement,No,Neutral,,In coots there was no significant difference between disturbance types or spontaneous flights. ,Boating refers to windsurfing,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Cygnus olor,Swan,No,Disturbance type,Wildfowling,Shooting,Behavioural,Movement,No,Neutral,,In coots there was no significant difference between disturbance types or spontaneous flights. ,,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Cygnus olor,Swan,No,NA,Recreational,Index,Behavioural,Feeding,No,Neutral,,There was no significant difference in coot feeding rates in the hour before or after a disturbance event. ,Combined analysis of all disturbance types. ,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Fulica atra,Rails,Yes,Disturbance type,Recreational,Angling,Behavioural,Movement,Yes,Negative,,Windsurfing and fishing boats caused similar levels of disturbance but less than shooting punts. Responses to all disturbance events lasted longer than spontaneous flights. ,,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Fulica atra,Rails,Yes,Disturbance type,Recreational,Boating,Behavioural,Movement,Yes,Negative,,Windsurfing and fishing boats caused similar levels of disturbance but less than shooting punts. Responses to all disturbance events lasted longer than spontaneous flights. ,Boating refers to windsurfing,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Fulica atra,Rails,Yes,Disturbance type,Wildfowling,Shooting,Behavioural,Movement,Yes,Negative,,Windsurfing and fishing boats caused similar levels of disturbance but less than shooting punts. Responses to all disturbance events lasted longer than spontaneous flights. ,,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Fulica atra,Rails,Yes,NA,Recreational,Index,Behavioural,Feeding,Yes,Negative,,Feeding rates increased significantly for Mute Swans in the hour after a disturbance event suggesting attempts to compensate for disturbance. In the second hour they had returned to normal. ,Combined analysis of all disturbance types. ,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Anas penelope,Duck,Yes,NA,Wildfowling,Shooting,Site,Local abundance,Yes,Negative,,Also examined local abundance of Wigeon and Swans as a function of shooting punts. Wigeon abundance varied in response to stationary and mobile punts. Above 4 stationary punts numbers were reduced. When both stationary and mobile present - numbers more than halved by presence of 3-4 punts and almost all departed when >4 punts. All wigeons departed on first day of hunting season in both years. ,,Yes
D123,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. I. Baseline assessment of the disturbance effects of recreational activities,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Cygnus olor,Swan,No,NA,Wildfowling,Shooting,Site,Local abundance,Yes,Negative,,"Swan numbers unaffected by 1-8 stationary punts. When both types present - decreased in numbers by 17-45% when >3 punts present. On first two mornings of the hunting season, swan numbers decreased by 33 and 65% respectively. ",,Yes
D124,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. II. Tests of hunting disturbance effects,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Cyngus olor,Swan,No,NA,Wildfowling,Shooting,Site,Local abundance,No,Neutral,,"Assessed the influence of experimental refuge provision (shooting banned) on the local abundance and community composition of different waterfowl species. Monitored use of refuge areas by waterfowl using a combination of aerial and ground surveys. For each wetland, species abundance was modelled as a function of area of the wrtland and treatment (shooting vs. non-shooting) as main effects and year as a covariate. Overall, quarry species resdistributed to the refuge areas and showed increases in local abundance following refuge provision. Protected species did not redistribute according to the position of the refuge areas and did not show a treatment effect on local abundance. Mute swan showed no effect of refuge provision on local abundance.",,Yes
D124,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. II. Tests of hunting disturbance effects,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Cygnus cygnus,Swan,No,Shooting vs non-shootting,Wildfowling,Shooting,Site,Local abundance,No,Neutral,,Whooper Swan showed no treatment effect of refuge provision on local abundance. ,,Yes
D124,Liam,Experimental refuges for migratory waterfowl in Danish wetlands. II. Tests of hunting disturbance effects,"Madsen, J.",1998,Journal of Applied Ecology,Migration,Regional,Denmark,Europe,multi-species,Anser anser,Geese,Yes,Shooting vs non-shootting,Wildfowling,Shooting,Site,Local abundance,Yes,Negative,,Greylag goose showed an increase in local abundance in response to the refuge treatment. Overall population sizes have been stable or decreased whilst increasing in the study area and shooting restrictions are the most likely explanation for the observed effect. ,,Yes
